area,UTM_X,UTM_Y
22.766799,607014.431813,4993974.3664
2.508952,605271.368465,5000812.82029
14.512898,596221.526836,5009756.37757
21.030899,667449.30548,5016955.73876
11.409043,639309.222325,4997766.6898
236.578097,617156.430478,5027356.04996
54.587503,616628.547924,5012564.87877
91.423194,602297.628844,4995904.66339
14.617551,615265.479383,4977375.79203
96.441871,640228.483794,5040463.33925
90.579352,679446.193268,5023398.49592
30.657848,673617.546224,5055299.63524
18.023146,596719.468654,4979444.18715
4.476896,640882.88432,5006689.37803
35.446593,651180.241689,5030663.83188
8.4558,660023.545939,5034751.59918
17.014446,612310.732181,4979085.27553
240.261797,686810.857687,5035824.05069
106.162346,653170.025931,4991145.31293
58.848907,652389.411531,4989578.31127
56.104449,632652.840877,5033411.08075
52.811148,613589.593164,4984017.51123
525.50242,587607.206372,5009279.28599
2.569949,660397.046294,5022845.79399
15.831949,604501.47488,5017963.22778
20.347877,674355.001915,5026063.59238
28.277749,615820.563498,5005578.60561
39.320997,636696.212443,5000046.5287
116.251445,615823.589249,4995939.52217
14.879699,656319.070977,5035622.21471
111.800343,606391.912818,5004423.26919
250.411993,625585.800664,5030901.453
39.535701,657249.029899,5028456.12458
25.100052,591138.364468,5009064.99178
978.787104,684178.31046,5057977.81652
16.04135,599661.588755,5013480.92808
62.657948,607837.426504,4993936.75423
11.455851,654064.506419,4990640.65193
1.136752,643196.74272,4991573.96317
1.426602,616307.551538,5003600.36935
3.679298,667802.74678,5016082.58465
7.497999,621196.64809,5035709.4058
2.43125,617524.594574,4971207.05222
5.9735,609763.173537,4983014.77273
6.927248,605150.824061,4991348.34133
2.215901,641318.943722,4993601.26818
1.874849,641794.325702,4993770.59682
4.879603,605721.074172,4995331.95344
9.785604,647135.254904,5000763.87704
11.537349,637919.588896,5001499.89963
6.59305,629452.43746,5009799.45753
3.150749,673919.324782,5012955.8001
4.326201,670693.525202,5018902.47759
1.6506,589477.69727,5019059.74921
1.772898,613005.321502,5019944.85709
4.612099,667505.137761,5034794.44375
3.284848,664075.292998,5045379.33328
